brewery_name,beer_name,beer_images,beer_url,beer_ABV,beer_IBU,beer_Description,beer_rating,typo_error
Yerevan Brewery,12.06 Premium Beer,12.06_Premium_Beer_image2.jpg,https://untappd.com/b/yerevan-brewery-12-06-premium-beer/2788982,4.8% ABV,N/A IBU, ,,
Yerevan Brewery,12.06 Premium Beer,12.06_Premium_Beer_image3.jpg,https://untappd.com/b/yerevan-brewery-12-06-premium-beer/2788982,4.8% ABV,N/A IBU, ,,
Artisan Brewing,Sunset Saison,Sunset_Saison_image1.jpg,https://untappd.com/b/artisan-brewing-sunset-saison/3181022,N/A ABV,N/A IBU, ,,
Pagan Cider,Limited Release:Peach & Apple,Limited_ReleasePeach__Apple_image1.jpg,https://untappd.com/b/pagan-cider-limited-release-peach-and-apple/3249009,8% ABV,N/A IBU, ,,
BrewBoys,Hard Pressed Pink Grapefruit,Hard_Pressed_Pink_Grapefruit_image1.jpg,https://untappd.com/b/brewboys-hard-pressed-pink-grapefruit/2439931,8% ABV,N/A IBU,"With Autumn giving us a few days of sunshine we have brought out our Hard Pressed Pink Grapefruit, the flamboyant pink sister to our Hard Pressed Lemonade she packs a mighty 8% punch that will warm you from the inside.... ",3.69,
BrewBoys,Hard Pressed Pink Grapefruit,Hard_Pressed_Pink_Grapefruit_image2.jpg,https://untappd.com/b/brewboys-hard-pressed-pink-grapefruit/2439931,8% ABV,N/A IBU,"With Autumn giving us a few days of sunshine we have brought out our Hard Pressed Pink Grapefruit, the flamboyant pink sister to our Hard Pressed Lemonade she packs a mighty 8% punch that will warm you from the inside.... ",3.69,
BrewBoys,Hard Pressed Pink Grapefruit,Hard_Pressed_Pink_Grapefruit_image3.jpg,https://untappd.com/b/brewboys-hard-pressed-pink-grapefruit/2439931,8% ABV,N/A IBU,"With Autumn giving us a few days of sunshine we have brought out our Hard Pressed Pink Grapefruit, the flamboyant pink sister to our Hard Pressed Lemonade she packs a mighty 8% punch that will warm you from the inside.... ",3.69,
BlakStoc,BlakStoc Falling Apple Collaboration,BlakStoc_Falling_Apple_Collaboration_image1.jpg,https://untappd.com/b/blakstoc-blakstoc-falling-apple-collaboration/2609487,5.5% ABV,N/A IBU, ,,
BlakStoc,BlakStoc Falling Apple Collaboration,BlakStoc_Falling_Apple_Collaboration_image2.jpg,https://untappd.com/b/blakstoc-blakstoc-falling-apple-collaboration/2609487,5.5% ABV,N/A IBU, ,,
Bierschmiede,Salomons Weisheit,Salomons_Weisheit_image1.jpg,https://untappd.com/b/bierschmiede-salomons-weisheit/3018469,5% ABV,N/A IBU, ,,
Schloss Eggenberg,Hopfenkönig Medium,Hopfenknig_Medium_image1.jpg,https://untappd.com/b/schloss-eggenberg-hopfenkonig-medium/343123,2.9% ABV,N/A IBU, ,3.26,
Schloss Eggenberg,Hopfenkönig Medium,Hopfenknig_Medium_image2.jpg,https://untappd.com/b/schloss-eggenberg-hopfenkonig-medium/343123,2.9% ABV,N/A IBU, ,3.26,
Schloss Eggenberg,Hopfenkönig Medium,Hopfenknig_Medium_image3.jpg,https://untappd.com/b/schloss-eggenberg-hopfenkonig-medium/343123,2.9% ABV,N/A IBU, ,3.26,
Schleppe Brauerei,Schleppe Märzen Radler,Schleppe_Mrzen_Radler_image1.jpg,https://untappd.com/b/schleppe-brauerei-schleppe-marzen-radler/2781937,2.5% ABV,N/A IBU, ,,
Schleppe Brauerei,Schleppe Märzen Radler,Schleppe_Mrzen_Radler_image2.jpg,https://untappd.com/b/schleppe-brauerei-schleppe-marzen-radler/2781937,2.5% ABV,N/A IBU, ,,
Stift Engelszell,Cervisia Stanacum,Cervisia_Stanacum_image1.jpg,https://untappd.com/b/stift-engelszell-cervisia-stanacum/2801331,7.1% ABV,N/A IBU,"Sold in 75cl bottles at the only trappist abbey in Austria, this beer is a 2:1 blend of Nivard and Gregorius. It is named after a Roman antiquities site, Burgus of Oberranna, or Stanacum. ",4,
Stift Engelszell,Cervisia Stanacum,Cervisia_Stanacum_image2.jpg,https://untappd.com/b/stift-engelszell-cervisia-stanacum/2801331,7.1% ABV,N/A IBU,"Sold in 75cl bottles at the only trappist abbey in Austria, this beer is a 2:1 blend of Nivard and Gregorius. It is named after a Roman antiquities site, Burgus of Oberranna, or Stanacum. ",4,
Stift Engelszell,Cervisia Stanacum,Cervisia_Stanacum_image3.jpg,https://untappd.com/b/stift-engelszell-cervisia-stanacum/2801331,7.1% ABV,N/A IBU,"Sold in 75cl bottles at the only trappist abbey in Austria, this beer is a 2:1 blend of Nivard and Gregorius. It is named after a Roman antiquities site, Burgus of Oberranna, or Stanacum. ",4,
1516 Brewing Company,Tres ConeJones 2017,Tres_ConeJones_2017_image1.jpg,https://untappd.com/b/1516-brewing-company-tres-conejones-2017/2379242,10.6% ABV,N/A IBU, ,3.9,
1516 Brewing Company,Tres ConeJones 2017,Tres_ConeJones_2017_image2.jpg,https://untappd.com/b/1516-brewing-company-tres-conejones-2017/2379242,10.6% ABV,N/A IBU, ,3.9,
1516 Brewing Company,Tres ConeJones 2017,Tres_ConeJones_2017_image3.jpg,https://untappd.com/b/1516-brewing-company-tres-conejones-2017/2379242,10.6% ABV,N/A IBU, ,3.9,
Braucommune in Freistadt,Oktober,Oktober_image1.jpg,https://untappd.com/b/braucommune-in-freistadt-oktober/1240772,N/A ABV,N/A IBU, ,,
Braucommune in Freistadt,Oktober,Oktober_image2.jpg,https://untappd.com/b/braucommune-in-freistadt-oktober/1240772,N/A ABV,N/A IBU, ,,
Bruckners ErzBrÃ¤u,Black Coffee,Black_Coffee_image1.jpg,https://untappd.com/b/bruckners-erzbrau-black-coffee/1295672,7% ABV,N/A IBU,Das kräftige Schwarze. ,,
Bruckners ErzBrÃ¤u,Spring Bock 2018,Spring_Bock_2018_image1.jpg,https://untappd.com/b/bruckners-erzbrau-spring-bock-2018/2504692,8.6% ABV,36 IBU, ,,
Bruckners ErzBrÃ¤u,Spring Bock 2018,Spring_Bock_2018_image2.jpg,https://untappd.com/b/bruckners-erzbrau-spring-bock-2018/2504692,8.6% ABV,36 IBU, ,,
Bruckners ErzBrÃ¤u,Spring Bock 2018,Spring_Bock_2018_image3.jpg,https://untappd.com/b/bruckners-erzbrau-spring-bock-2018/2504692,8.6% ABV,36 IBU, ,,
7 Stern BrÃ¤u,Dunkel Weizen,Dunkel_Weizen_image1.jpg,https://untappd.com/b/7-stern-brau-dunkel-weizen/2507781,N/A ABV,N/A IBU, ,3.49,
7 Stern BrÃ¤u,Dunkel Weizen,Dunkel_Weizen_image2.jpg,https://untappd.com/b/7-stern-brau-dunkel-weizen/2507781,N/A ABV,N/A IBU, ,3.49,
7 Stern BrÃ¤u,Dunkel Weizen,Dunkel_Weizen_image3.jpg,https://untappd.com/b/7-stern-brau-dunkel-weizen/2507781,N/A ABV,N/A IBU, ,3.49,
Brauerei Grieskirchen,Jubelbier,Jubelbier_image1.jpg,https://untappd.com/b/brauerei-grieskirchen-jubelbier/1250072,N/A ABV,N/A IBU, ,,
Brauerei Grieskirchen,Jubelbier,Jubelbier_image2.jpg,https://untappd.com/b/brauerei-grieskirchen-jubelbier/1250072,N/A ABV,N/A IBU, ,,
Brauerei Grieskirchen,Jubelbier,Jubelbier_image3.jpg,https://untappd.com/b/brauerei-grieskirchen-jubelbier/1250072,N/A ABV,N/A IBU, ,,
Brauerei Grieskirchen,Bier.pur Edition 2016,Bier.pur_Edition_2016_image1.jpg,https://untappd.com/b/brauerei-grieskirchen-bier-pur-edition-2016/1786769,7.6% ABV,N/A IBU,Four different malts ,3.33,
Brauerei Grieskirchen,Bier.pur Edition 2016,Bier.pur_Edition_2016_image2.jpg,https://untappd.com/b/brauerei-grieskirchen-bier-pur-edition-2016/1786769,7.6% ABV,N/A IBU,Four different malts ,3.33,
Brauerei Grieskirchen,Bier.pur Edition 2016,Bier.pur_Edition_2016_image3.jpg,https://untappd.com/b/brauerei-grieskirchen-bier-pur-edition-2016/1786769,7.6% ABV,N/A IBU,Four different malts ,3.33,
Brauerei Josef Baumgartner,Doppel Malz,Doppel_Malz_image1.jpg,https://untappd.com/b/brauerei-jos-baumgartner-doppel-malz/1069113,5.2% ABV,N/A IBU, ,,
BrauSchneider,Kaffee Campus Krems Beer,Kaffee_Campus_Krems_Beer_image1.jpg,https://untappd.com/b/brauschneider-kaffee-campus-krems-beer/1544547,N/A ABV,N/A IBU,"A little bitter, good summer beer. ",,
Privatbrauerei Hirt,Yaoyao Chili Bier,Yaoyao_Chili_Bier_image1.jpg,https://untappd.com/b/privatbrauerei-hirt-yaoyao-chili-bier/1058014,4.8% ABV,N/A IBU, ,2.84,
Privatbrauerei Hirt,Yaoyao Chili Bier,Yaoyao_Chili_Bier_image2.jpg,https://untappd.com/b/privatbrauerei-hirt-yaoyao-chili-bier/1058014,4.8% ABV,N/A IBU, ,2.84,
Privatbrauerei Hirt,Yaoyao Chili Bier,Yaoyao_Chili_Bier_image3.jpg,https://untappd.com/b/privatbrauerei-hirt-yaoyao-chili-bier/1058014,4.8% ABV,N/A IBU, ,2.84,
Brauhaus Gusswerk,Edelguss-Radler,Edelguss-Radler_image1.jpg,https://untappd.com/b/brauhaus-gusswerk-edelguss-radler/108013,2.9% ABV,13 IBU, ,3.06,
Brauhaus Gusswerk,Edelguss-Radler,Edelguss-Radler_image2.jpg,https://untappd.com/b/brauhaus-gusswerk-edelguss-radler/108013,2.9% ABV,13 IBU, ,3.06,
Brauhaus Gusswerk,Edelguss-Radler,Edelguss-Radler_image3.jpg,https://untappd.com/b/brauhaus-gusswerk-edelguss-radler/108013,2.9% ABV,13 IBU, ,3.06,
Zillertal Bier,Pröller Alm Weizen,Prller_Alm_Weizen_image1.jpg,https://untappd.com/b/brauhaus-simon-strasser-proller-alm-weizen/2521577,4.7% ABV,N/A IBU, ,3.75,
Zillertal Bier,Pröller Alm Weizen,Prller_Alm_Weizen_image2.jpg,https://untappd.com/b/brauhaus-simon-strasser-proller-alm-weizen/2521577,4.7% ABV,N/A IBU, ,3.75,
Zillertal Bier,Pröller Alm Weizen,Prller_Alm_Weizen_image3.jpg,https://untappd.com/b/brauhaus-simon-strasser-proller-alm-weizen/2521577,4.7% ABV,N/A IBU, ,3.75,
Brauhaus Gusswerk,Winter-Steinbier,Winter-Steinbier_image1.jpg,https://untappd.com/b/brauhaus-gusswerk-winter-steinbier/602203,6.4% ABV,29 IBU,When it's cold outside,3.24,
Brauhaus Gusswerk,Winter-Steinbier,Winter-Steinbier_image2.jpg,https://untappd.com/b/brauhaus-gusswerk-winter-steinbier/602203,6.4% ABV,29 IBU,When it's cold outside,3.24,
Brauhaus Gusswerk,Winter-Steinbier,Winter-Steinbier_image3.jpg,https://untappd.com/b/brauhaus-gusswerk-winter-steinbier/602203,6.4% ABV,29 IBU,When it's cold outside,3.24,
Brauhaus Gusswerk,Jakobsgold Alkoholfrei,Jakobsgold_Alkoholfrei_image1.jpg,https://untappd.com/b/brauhaus-gusswerk-jakobsgold-alkoholfrei/589503,0.5% ABV,18 IBU,"Alkoholfreies, naturtrübes Bio-Bier ",2.67,
Brauhaus Gusswerk,Jakobsgold Alkoholfrei,Jakobsgold_Alkoholfrei_image2.jpg,https://untappd.com/b/brauhaus-gusswerk-jakobsgold-alkoholfrei/589503,0.5% ABV,18 IBU,"Alkoholfreies, naturtrübes Bio-Bier ",2.67,
Brauhaus Gusswerk,Jakobsgold Alkoholfrei,Jakobsgold_Alkoholfrei_image3.jpg,https://untappd.com/b/brauhaus-gusswerk-jakobsgold-alkoholfrei/589503,0.5% ABV,18 IBU,"Alkoholfreies, naturtrübes Bio-Bier ",2.67,
Privatbrauerei Schnaitl,Gundertshausener Ernte,Gundertshausener_Ernte_image1.jpg,https://untappd.com/b/privatbrauerei-schnaitl-gundertshausener-ernte/1241097,4.4% ABV,22 IBU, ,3.29,
Privatbrauerei Schnaitl,Gundertshausener Ernte,Gundertshausener_Ernte_image2.jpg,https://untappd.com/b/privatbrauerei-schnaitl-gundertshausener-ernte/1241097,4.4% ABV,22 IBU, ,3.29,
Privatbrauerei Schnaitl,Gundertshausener Ernte,Gundertshausener_Ernte_image3.jpg,https://untappd.com/b/privatbrauerei-schnaitl-gundertshausener-ernte/1241097,4.4% ABV,22 IBU, ,3.29,
Privatbrauerei Zwettl,Zwetschken Radler,Zwetschken_Radler_image1.jpg,https://untappd.com/b/privatbrauerei-zwettl-zwetschken-radler/235253,2.5% ABV,N/A IBU, ,,
Brauerei Ried,Chelsea Nua Stout,Chelsea_Nua_Stout_image1.jpg,https://untappd.com/b/brauerei-ried-chelsea-nua-stout/2006942,N/A ABV,N/A IBU, ,3.61,
Brauerei Ried,Chelsea Nua Stout,Chelsea_Nua_Stout_image2.jpg,https://untappd.com/b/brauerei-ried-chelsea-nua-stout/2006942,N/A ABV,N/A IBU, ,3.61,
Brauerei Ried,Chelsea Nua Stout,Chelsea_Nua_Stout_image3.jpg,https://untappd.com/b/brauerei-ried-chelsea-nua-stout/2006942,N/A ABV,N/A IBU, ,3.61,
Brauerei Ried,Weißbier Doppelbock,Weibier_Doppelbock_image1.jpg,https://untappd.com/b/brauerei-ried-weissbier-doppelbock/811033,8.5% ABV,N/A IBU, ,3.74,
Brauerei Ried,Weißbier Doppelbock,Weibier_Doppelbock_image2.jpg,https://untappd.com/b/brauerei-ried-weissbier-doppelbock/811033,8.5% ABV,N/A IBU, ,3.74,
Brauerei Ried,Weißbier Doppelbock,Weibier_Doppelbock_image3.jpg,https://untappd.com/b/brauerei-ried-weissbier-doppelbock/811033,8.5% ABV,N/A IBU, ,3.74,
Commonwealth Brewery,Kalik Grapefruit Radler,Kalik_Grapefruit_Radler_image1.jpg,https://untappd.com/b/kalik-kalik-grapefruit-radler/2668961,3.2% ABV,N/A IBU,Radler/grapefruit ,,
Commonwealth Brewery,Kalik Grapefruit Radler,Kalik_Grapefruit_Radler_image2.jpg,https://untappd.com/b/kalik-kalik-grapefruit-radler/2668961,3.2% ABV,N/A IBU,Radler/grapefruit ,,
Banks (Barbados) Breweries,Tiger Malt Vanilla,Tiger_Malt_Vanilla_image1.jpg,https://untappd.com/b/banks-barbados-breweries-tiger-malt-vanilla/3160296,N/A ABV,N/A IBU,Non-alcoholic malt beverage. ,,
Banks (Barbados) Breweries,Guinness Foreign Extra Stout (Barbados),Guinness_Foreign_Extra_Stout_(Barbados)_image1.jpg,https://untappd.com/b/banks-barbados-breweries-guinness-foreign-extra-stout-barbados/3145037,7.5% ABV,47 IBU,Guinness Foreign Extra Stout brewed in the Banks Breweries in Barbados. ,3.75,
Banks (Barbados) Breweries,Guinness Foreign Extra Stout (Barbados),Guinness_Foreign_Extra_Stout_(Barbados)_image2.jpg,https://untappd.com/b/banks-barbados-breweries-guinness-foreign-extra-stout-barbados/3145037,7.5% ABV,47 IBU,Guinness Foreign Extra Stout brewed in the Banks Breweries in Barbados. ,3.75,
Banks (Barbados) Breweries,Guinness Foreign Extra Stout (Barbados),Guinness_Foreign_Extra_Stout_(Barbados)_image3.jpg,https://untappd.com/b/banks-barbados-breweries-guinness-foreign-extra-stout-barbados/3145037,7.5% ABV,47 IBU,Guinness Foreign Extra Stout brewed in the Banks Breweries in Barbados. ,3.75,
Banks (Barbados) Breweries,Start De Party,Start_De_Party_image1.jpg,https://untappd.com/b/banks-barbados-breweries-start-de-party/1975099,4.7% ABV,N/A IBU,2016 limited edition ,,
Banks (Barbados) Breweries,Start De Party,Start_De_Party_image2.jpg,https://untappd.com/b/banks-barbados-breweries-start-de-party/1975099,4.7% ABV,N/A IBU,2016 limited edition ,,
Banks (Barbados) Breweries,Start De Party,Start_De_Party_image3.jpg,https://untappd.com/b/banks-barbados-breweries-start-de-party/1975099,4.7% ABV,N/A IBU,2016 limited edition ,,
Geuzestekerij De Cam,De Cam Oude Kriek 2008,De_Cam_Oude_Kriek_2008_image1.jpg,https://untappd.com/b/geuzestekerij-de-cam-de-cam-oude-kriek-2008/3216067,6% ABV,N/A IBU, ,,
Geuzestekerij De Cam,De Cam Oude Kriek 2008,De_Cam_Oude_Kriek_2008_image2.jpg,https://untappd.com/b/geuzestekerij-de-cam-de-cam-oude-kriek-2008/3216067,6% ABV,N/A IBU, ,,
Hanssens Artisanaal,Very Old Red,Very_Old_Red_image1.jpg,https://untappd.com/b/hanssens-artisanaal-very-old-red/3246613,N/A ABV,N/A IBU, ,,
Brouwerij Girardin,Ulricher Extra Lager,Ulricher_Extra_Lager_image1.jpg,https://untappd.com/b/brouwerij-girardin-ulricher-extra-lager/196016,5% ABV,N/A IBU, ,2.88,
Brouwerij Girardin,Ulricher Extra Lager,Ulricher_Extra_Lager_image2.jpg,https://untappd.com/b/brouwerij-girardin-ulricher-extra-lager/196016,5% ABV,N/A IBU, ,2.88,
Brouwerij Girardin,Ulricher Extra Lager,Ulricher_Extra_Lager_image3.jpg,https://untappd.com/b/brouwerij-girardin-ulricher-extra-lager/196016,5% ABV,N/A IBU, ,2.88,
Brouwerij De Halve Maan,De Vlasschuur,De_Vlasschuur_image1.jpg,https://untappd.com/b/brouwerij-de-halve-maan-de-vlasschuur/2583247,9% ABV,N/A IBU, ,,
Brouwerij De Halve Maan,De Vlasschuur,De_Vlasschuur_image2.jpg,https://untappd.com/b/brouwerij-de-halve-maan-de-vlasschuur/2583247,9% ABV,N/A IBU, ,,
Brouwerij De Halve Maan,De Vlasschuur,De_Vlasschuur_image3.jpg,https://untappd.com/b/brouwerij-de-halve-maan-de-vlasschuur/2583247,9% ABV,N/A IBU, ,,
De Vier Monniken,Bruges Golden Years,Bruges_Golden_Years_image1.jpg,https://untappd.com/b/de-vier-monniken-bruges-golden-years/2717496,8% ABV,N/A IBU, ,,
De Vier Monniken,Bruges Golden Years,Bruges_Golden_Years_image2.jpg,https://untappd.com/b/de-vier-monniken-bruges-golden-years/2717496,8% ABV,N/A IBU, ,,
De Vier Monniken,Bruges Golden Years,Bruges_Golden_Years_image3.jpg,https://untappd.com/b/de-vier-monniken-bruges-golden-years/2717496,8% ABV,N/A IBU, ,,
Brouwerij Malheur,'s Lands Souvenir Du Terroir,s_Lands_Souvenir_Du_Terroir_image1.jpg,https://untappd.com/b/brouwerij-malheur-s-lands-souvenir-du-terroir/2710899,9% ABV,N/A IBU, ,,
Brouwerij Malheur,Malheur Lentebok,Malheur_Lentebok_image1.jpg,https://untappd.com/b/brouwerij-malheur-malheur-lentebok/2191503,6.5% ABV,N/A IBU, ,,
Brouwerij Malheur,Malheur Lentebok,Malheur_Lentebok_image2.jpg,https://untappd.com/b/brouwerij-malheur-malheur-lentebok/2191503,6.5% ABV,N/A IBU, ,,
Dockyard Brewing Company,Cherrywood Smoked Ale,Cherrywood_Smoked_Ale_image1.jpg,https://untappd.com/b/the-frog-and-onion-pub-cherrywood-smoked-ale/1073880,N/A ABV,N/A IBU, ,3.53,
Dockyard Brewing Company,Cherrywood Smoked Ale,Cherrywood_Smoked_Ale_image2.jpg,https://untappd.com/b/the-frog-and-onion-pub-cherrywood-smoked-ale/1073880,N/A ABV,N/A IBU, ,3.53,
The Brew Pub Sarajevo,Christmas Ale,Christmas_Ale_image1.jpg,https://untappd.com/b/the-brew-pub-sarajevo-christmas-ale/2471380,N/A ABV,N/A IBU,Spiced notes and ginger flavor ,,
The Brew Pub Sarajevo,Christmas Ale,Christmas_Ale_image2.jpg,https://untappd.com/b/the-brew-pub-sarajevo-christmas-ale/2471380,N/A ABV,N/A IBU,Spiced notes and ginger flavor ,,
The Brew Pub Sarajevo,Christmas Ale,Christmas_Ale_image3.jpg,https://untappd.com/b/the-brew-pub-sarajevo-christmas-ale/2471380,N/A ABV,N/A IBU,Spiced notes and ginger flavor ,,
The Brew Pub Sarajevo,New England Pale Ale,New_England_Pale_Ale_image1.jpg,https://untappd.com/b/the-brew-pub-sarajevo-new-england-pale-ale/3159205,6.5% ABV,N/A IBU, ,,
The Brew Pub Sarajevo,New England Pale Ale,New_England_Pale_Ale_image2.jpg,https://untappd.com/b/the-brew-pub-sarajevo-new-england-pale-ale/3159205,6.5% ABV,N/A IBU, ,,
